name,amenity,healthcare,speciality,addr:full,addr:city,latitude,longitude,capacity
Taiping Dental Care,other,dentist,general,Unknown,Unknown,4.8527285,100.74095,0.0
Klinik Kesihatan Tatau,clinic,clinic,general,Unknown,Unknown,2.8834886,112.8552234,0.0
Klinik Pergigian Bandar,other,dentist,general,Unknown,Unknown,3.1277491,101.6703688,0.0
Big pharmacy,pharmacy,pharmacy,general,Unknown,Unknown,3.1281481,101.6697707,0.0
Klinik Chong Dan Rakan-rakan,clinic,clinic,general,Unknown,Unknown,3.127458,101.6697179,0.0
Klinik Kem PPH,clinic,clinic,community;general,Unknown,Keningau,5.3528816,116.1684821,0.0
中华施诊所,clinic,clinic,general,Unknown,Kuala Lumpur,3.1431713,101.7000113,0.0
Poliklinik Teo 张百科药房,clinic,clinic,general,Unknown,Unknown,5.3614074,100.444841,0.0
Des Optics,other,optometrist,general,Unknown,Miri,4.4274308,114.0028457,0.0
Apple Physiotherapy Centre,other,physiotherapist,general,Unknown,Unknown,3.1013835,101.6459516,0.0
Klinik Komuniti Sungai Siput (U),clinic,clinic,general,Unknown,Unknown,4.8286597,101.0794827,0.0
Klinik Pergigian Bayu Aman,other,dentist,general,Unknown,Unknown,5.4820878,100.3831355,0.0
Miri X-Ray Diagnostic Service,other,laboratory,diagnostic_radiology,Unknown,Miri,4.3970624,113.9860766,0.0
Farmasi Tenom,pharmacy,pharmacy,general,Unknown,Unknown,5.124061,115.9436873,0.0
Teo's Clinic & Maternity Centre,clinic,clinic,general,Unknown,Miri,4.3970457,113.9861291,0.0
Lau's Dental Surgery,other,dentist,orthopaedics,Unknown,Miri,4.3970292,113.9861776,0.0
Bestcare Pharmacy,pharmacy,pharmacy,general,Unknown,Miri,4.5001309,114.0216327,0.0
Hospital Tenom,hospital,hospital,general,Unknown,Unknown,5.1233051,115.9412663,0.0
Klinik Kesihatan Ibu dan Anak Tenom,clinic,clinic,general,Unknown,Unknown,5.1250497,115.9438976,0.0
Klinik Perdana,clinic,clinic,general,Unknown,Unknown,1.5039082,110.3499285,0.0
Klinik Amisi,clinic,clinic,general,Unknown,Unknown,2.9641291,101.7652081,0.0
Kincentre Pharmacy,pharmacy,pharmacy,general,Unknown,Unknown,1.5039042,110.3501907,0.0
Satu Malaysia,clinic,clinic,general,Unknown,Unknown,5.9626233,116.0696868,0.0
Cozy Post Natal Care Center,other,yes,general,Unknown,Unknown,3.0907587,101.6816143,0.0
AM PM Farmasi,pharmacy,pharmacy,general,Unknown,Unknown,1.6649419,103.5942079,0.0
Klinik Chen,clinic,,general,Unknown,Unknown,1.4803582,103.7738302,0.0
Pusat Akupunktur Dan Produk Herba Cina TCM Acupunture Centre,clinic,,general,Unknown,Unknown,1.4806238,103.7736259,0.0
Health Lane Family Pharmacy,pharmacy,,general,Unknown,Unknown,1.4825598,103.7751313,0.0
Farmasi Big,pharmacy,,general,Unknown,Unknown,1.481659,103.7749926,0.0
Klinik Pelangi,clinic,,general,Unknown,Unknown,1.4814965,103.7737009,0.0
Klinik Pergigian SG Dental,other,,general,Unknown,Unknown,1.4815214,103.7738987,0.0
Pusat Perubatan Akupunktur Huaren TCM Centre,clinic,,general,Unknown,Unknown,1.4815893,103.7744389,0.0
Qin TCM Acumedic Centre,clinic,,general,Unknown,Unknown,1.4820871,103.7745064,0.0
Farmasi Caring,pharmacy,,general,Unknown,Unknown,1.4820593,103.7742613,0.0
Pusat Akupunktur Korean Advanced TCM,clinic,,general,Unknown,Unknown,1.4822359,103.772916,0.0
Pakar Kanak-Kanak S.T. Lim,clinic,,general,Unknown,Unknown,1.4836543,103.7750091,0.0
Farmasi Sunway Multicare,pharmacy,,general,Unknown,Unknown,1.4839066,103.7749898,0.0
Klinik Dr. Ko,clinic,,general,Unknown,Unknown,1.4844444,103.7753959,0.0
Klinik Irvine,clinic,,general,Unknown,Unknown,1.4833007,103.7754988,0.0
Ren Kang Healthcare Centre,clinic,,general,Unknown,Unknown,1.4829213,103.775533,0.0
Klinik Gigi Haslinda,other,dentist,general,Unknown,Unknown,1.6599384,103.6053014,0.0
Klinik Ooi dan Surgeri,clinic,clinic,general,Unknown,Unknown,1.6513348,103.6105585,0.0
Top Vision,clinic,clinic,optometry,Unknown,Unknown,1.6382017,103.6270251,0.0
Farmasi Axon Sdn. Bhd.,pharmacy,pharmacy,general,Unknown,Unknown,1.660476,103.604714,0.0
Miri Medical Clinic - Dr. Philip Ting,clinic,clinic,general,Unknown,Miri,4.3974635,113.9885875,0.0
Amcal Pharmacy,pharmacy,pharmacy,general,Unknown,Miri,4.3527307,113.9881779,0.0
靖平中药行,pharmacy,pharmacy,chinese_medicine,Unknown,Unknown,3.831986,103.3358528,0.0
U.n.i Klinik,clinic,clinic,general,Unknown,Unknown,3.2073614,101.4748515,0.0
Klinik Siti,clinic,clinic,general,Unknown,Unknown,3.2070464,101.4740775,0.0
Klinik Asia Taman Daya,clinic,clinic,general,Unknown,Johor Bahru,1.5435151,103.7637037,0.0
Libra Dental Laboratory,other,dentist,general,Unknown,Miri,4.4202511,114.0171473,0.0
Klinik Dr Nuing,clinic,clinic,occupational,Unknown,Miri,4.420349,114.0167459,0.0
FFIMT Clinic (Dr. Moo),clinic,clinic,general,Unknown,Unknown,3.155079,101.7188101,0.0
Body Care Chiro & Physio,other,alternative,chiropractic,Unknown,Unknown,4.2572818,117.9252652,0.0
Klinik Dr. Lilian Hong,clinic,clinic,general,Unknown,Unknown,4.2603958,117.8998522,0.0
Pusat Hemodialisis Mawar,clinic,dialysis,nephrology,Unknown,Unknown,4.2581276,117.9253387,0.0
Klinik Pergigian Puteri,other,,general,Unknown,Unknown,1.4601646,103.7694626,0.0
Klinik Sin Onn,clinic,clinic,general,Unknown,Unknown,4.2737591,117.9047715,0.0
Pusat Latihan Obstetrik & Ginekologi,other,yes,general,Unknown,Unknown,3.171,101.7049228,0.0
Eyecare Optometrist,other,optometrist,general,Unknown,Miri,4.406372,114.00191,0.0
Klinik Pergigian Huang,other,dentist,general,Unknown,Miri,4.4053477,113.9997591,0.0
Klinik Segara,clinic,clinic,general,Unknown,Unknown,3.1228572,101.6758265,0.0
Klinik Mediviron,clinic,clinic,general,Unknown,Unknown,3.1223199,101.6752433,0.0
Spa Bekam Al Iksan,other,alternative,homeopathy,Unknown,Unknown,3.0876389,101.5475744,0.0
BP Diagnostic,other,laboratory,clinical_pathology,Unknown,Unknown,5.9592195,116.0882287,0.0
Guardian,pharmacy,pharmacy,general,Unknown,Unknown,5.9465941,116.089222,0.0
Klinik Anda,clinic,clinic,general,Unknown,Unknown,3.1786527,101.7414829,0.0
Harvin & Adeline Polyclinic,clinic,clinic,general,Unknown,Johor Bahru,1.5767397,103.7577021,0.0
Happy Dental Setia Indah,other,dentist,general,Unknown,Johor Bahru,1.5767902,103.7577052,0.0
Klinik dan Surgeri Mesra,clinic,clinic,general,Unknown,Unknown,3.1777481,101.7431801,0.0
Health Lane Pharmacy,pharmacy,pharmacy,general,Unknown,Unknown,3.1785232,101.7432108,0.0
Klinik Famili,clinic,clinic,general,Unknown,Unknown,3.1782881,101.7414712,0.0
Klinik Pergigian Fatin Noor,other,dentist,general,Unknown,Unknown,3.1780285,101.7431912,0.0
Health Lane Pharmacy,pharmacy,pharmacy,general,Unknown,Unknown,3.1780986,101.7414652,0.0
Kita Pharmacy,pharmacy,pharmacy,general,Unknown,Unknown,3.1786565,101.7420408,0.0
OK Pharmacy,pharmacy,pharmacy,general,Unknown,Unknown,3.1774142,101.7378698,0.0
Klinik Pergigian Dental Suite,other,dentist,general,Unknown,Unknown,3.1778634,101.7431407,0.0
Klinik Pergigian Afiera,other,dentist,general,Unknown,Unknown,3.1785948,101.741481,0.0
Friends' Pharmacy,pharmacy,pharmacy,general,Unknown,Unknown,3.1779225,101.7414596,0.0
Optocare Optometrist,other,optometrist,general,Unknown,Unknown,3.178657,101.7419763,0.0
Klinik Doshi,clinic,clinic,general,Unknown,Unknown,4.2301183,103.4269448,0.0
Guardian,pharmacy,pharmacy,general,Unknown,Unknown,3.177371,101.7385943,0.0
Klinik Pergigian Lee,clinic,clinic,general,Unknown,Unknown,4.2214785,103.4259061,0.0
Klinik Zainab,clinic,clinic,general,Unknown,Unknown,4.2186678,103.4233731,0.0
Klinik Azmi,clinic,clinic,general,Unknown,Unknown,4.1911863,103.4329974,0.0
Klinik Dr Erlina,clinic,clinic,general,Unknown,Unknown,4.2307965,103.4203459,0.0
Big Pharmacy,pharmacy,pharmacy,general,Unknown,Unknown,3.1451945,101.6986708,0.0
Pejabat Pergigian Daerah Seberang Perai Utara,other,dentist,general,Unknown,Butterworth,5.4061396,100.3697893,0.0
Klinik Ramli & Adibah,clinic,clinic,general,Unknown,Unknown,4.2328591,103.4255569,0.0
Klinik Alias,clinic,clinic,general,Unknown,Unknown,4.2333803,103.423649,0.0
Watsons,pharmacy,pharmacy,general,Unknown,Unknown,4.2341546,103.4222401,0.0
Klinik Al-Hijrah 24 Jam,clinic,clinic,general,Unknown,Unknown,4.233297,103.4238183,0.0
Klinik Kesihatan Belaga,clinic,clinic,general,Unknown,Unknown,2.7064581,113.7751135,0.0
Health Lane Family Pharmacy,pharmacy,pharmacy,general,Unknown,Unknown,3.0896675,101.6867532,0.0
Permai Specialist Clinic Sdn Bhd,other,doctor,psychiatry,Unknown,Miri,4.3683559,114.007313,0.0
Klinik Perdana,clinic,clinic,general,Unknown,Unknown,3.2012907,101.5568838,0.0
FZ Bone Adjustment Therapy Centre,other,physiotherapist,general,Unknown,Miri,4.4508471,114.0406315,0.0
Klinik Kesihatan Jln Lanang,clinic,clinic,general,Unknown,Unknown,2.2465055,111.8415625,0.0
Hospital Mukah,hospital,hospital,general,Unknown,Unknown,2.9022433,112.0773264,0.0
Klinik C.K. Chan,clinic,clinic,general,Unknown,Unknown,4.4737536,101.166809,0.0
Lumiere,other,dentist,general,Unknown,Sepang,2.8226302,101.69432,0.0
Health Lane Family Pharmacy,pharmacy,pharmacy,general,Unknown,Sepang,2.8229491,101.6951967,0.0
MediPulih Klinik,clinic,clinic,general,Unknown,Sepang,2.8182465,101.6945319,0.0
Watsons,pharmacy,pharmacy,general,Unknown,Sepang,2.8229736,101.6955822,0.0
Guardian,pharmacy,pharmacy,general,Unknown,Unknown,4.4408115,103.4482903,0.0
Klinik Kesihatan Kemasek,clinic,clinic,general,Unknown,Unknown,4.4276341,103.4525132,0.0
Klinik Alamanda,clinic,clinic,general,Unknown,Unknown,4.4836582,103.4407109,0.0
Klinik Pergigian Alamanda,other,dentist,general,Unknown,Unknown,4.483294,103.4407275,0.0
Klinik Mawardah,clinic,clinic,general,Unknown,Unknown,4.3809409,103.4541629,0.0
Poliklinik Dr. Azhar,clinic,clinic,general,Unknown,Unknown,3.1094004,101.6688969,0.0
Kedai Ubat Chee Seng Thong,other,alternative,general,Unknown,Unknown,3.1664618,101.6985637,0.0
Des Optics,other,optometrist,general,Unknown,Miri,4.4784385,114.0397709,0.0
Health Lane Family Pharmacy,pharmacy,pharmacy,general,Unknown,Unknown,5.4163409,100.3241862,0.0
Klinik Anda,clinic,clinic,general,Unknown,Unknown,2.9923526,101.6148769,0.0
Life Pro Pharmacy,pharmacy,pharmacy,general,Unknown,Unknown,1.5014526,110.3477761,0.0
Klinik Wee,clinic,clinic,general,Unknown,Unknown,2.2114929,102.6528302,0.0
Farmasi Nuhara,pharmacy,pharmacy,general,Unknown,Beranang,2.8960475,101.8696551,0.0
Klinik Famili,clinic,clinic,general,Unknown,Unknown,2.8957344,101.8697444,0.0
Spine Sports Stroke,other,physiotherapist,general,Unknown,Unknown,5.3952695,100.3988952,0.0
Klinik Desa,other,doctor,general,Unknown,Unknown,2.1689123,102.7565995,0.0
Klinik Ho,other,doctor,general,Unknown,Unknown,2.1516276,102.7728586,0.0
LAFAVIO,clinic,clinic,general,Unknown,Johor Bahru,1.4879692,103.7594251,0.0
Klinik Theesan,clinic,clinic,general,Unknown,Unknown,1.4863775,103.7600365,0.0
Kang Family Clinic,clinic,clinic,general,Unknown,Unknown,1.4950762,110.3010157,0.0
Klinik Lihui,clinic,,general,Unknown,Unknown,1.4851093,103.7600628,0.0
Kedai Ubat Dan Perniagaan Zhong Xing,clinic,,general,Unknown,Unknown,1.4852228,103.7609155,0.0
Farmasi You,pharmacy,,general,Unknown,Unknown,1.4870113,103.7600234,0.0
Kedai Ubat Johor Bahru,pharmacy,,general,Unknown,Unknown,1.4865059,103.7600339,0.0
Farmasi AM PM,pharmacy,,general,Unknown,Unknown,1.4857652,103.7612441,0.0
Klinik Zemlya Clinic,clinic,,general,Unknown,Unknown,1.4855038,103.7600546,0.0
Big Pharmacy,pharmacy,,general,Unknown,Unknown,1.4863067,103.7616179,0.0
Stesen Kuarantin Haiwan Bako Jabatan Perkhidmatan Veterinar Sarawak,other,laboratory,general,Unknown,Unknown,1.6450745,110.4517011,0.0
Klinik Wai,clinic,clinic,dermatology,Unknown,Unknown,3.0466709,101.6213499,0.0
Chen Child Specialist Clinic,clinic,clinic,general,Unknown,Miri,4.4495584,114.0340518,0.0
Dr Chong Clinic,clinic,clinic,general,Unknown,Unknown,3.0461832,101.6209416,0.0
KLINIK AZFA,hospital,hospital,paediatrics,Unknown,"TELUK KEMANG ,PORT DICKSON",2.4465799,101.8600995,0.0
Klinik Desa Teluk Kerang,clinic,clinic,general,Unknown,Unknown,1.412454,103.426321,0.0
Dorra,other,yes,general,Unknown,Unknown,5.3202582,100.478081,0.0
Skin Renew,other,skin,general,Unknown,Unknown,5.3200206,100.4779592,0.0
Watsons,pharmacy,pharmacy,general,Unknown,Unknown,5.3199252,100.4784594,0.0
London Weight Management,other,yes,general,Unknown,Unknown,5.320189,100.4779141,0.0
Yun Nam Hair Care,other,hair,general,Unknown,Unknown,5.3203094,100.4780684,0.0
Klinik Ibnu Sina,clinic,clinic,general,Unknown,Unknown,4.5080711,103.4424453,0.0
Klinik Syed Sabarudin,clinic,clinic,general,Unknown,Unknown,4.5080126,103.4424377,0.0
Harmoni Farmasi Paka,pharmacy,pharmacy,general,Unknown,Unknown,4.6353516,103.437191,0.0
Farmasi Rahmat,pharmacy,pharmacy,general,Unknown,Unknown,4.6349047,103.4376591,0.0
LifeCare,other,centre,general,Unknown,Seri Kembangan,3.026681,101.7536083,0.0
Klinik Perubatan Malaya,clinic,clinic,general,Unknown,Unknown,3.1495599,101.697782,0.0
Farmasi Health Lane,pharmacy,pharmacy,general,Unknown,Unknown,3.2272426,101.5572418,0.0
Lim Dental Surgery,other,dentist,general,Unknown,Unknown,3.1822311,101.6815238,0.0
Klinik 1Malaysia,clinic,clinic,general,Unknown,Unknown,4.7131306,103.4108456,0.0
Klinik Desa Pos Buntu,hospital,,general,Unknown,Raub,3.9877606,101.644392,0.0
Guardian,pharmacy,pharmacy,general,Unknown,Unknown,3.0087795,101.4396219,0.0
Hua Tuo Yuan Traditional Chinese Medicine,other,alternative,traditional_chinese_medicine,Unknown,Miri,4.4133586,114.0009089,0.0
Klinik Yeo Skin & Medical,clinic,clinic,dermatology,Unknown,Miri,4.3982405,113.9949877,0.0
Klinik Pergigian Kuala Lipis,other,dentist,dentist,Unknown,Unknown,4.1840739,102.0555901,0.0
Poliklinik Penawar,clinic,clinic,general,Unknown,Unknown,1.493848,103.8688713,0.0
Pusat Pakar Mata Sentosa,clinic,clinic,ophthalmology,Unknown,Unknown,3.0059844,101.483094,0.0
BeauLife Clinic,clinic,clinic,general,Unknown,Unknown,3.0950243,101.7396271,0.0
Farmasi Goodmedic,pharmacy,pharmacy,general,Unknown,Unknown,3.1017055,101.7328127,0.0
Guardian,pharmacy,pharmacy,general,Unknown,Unknown,4.2442915,117.8883287,0.0
Guardian,pharmacy,pharmacy,general,Unknown,Unknown,4.5495039,101.1173882,0.0
Sunlight Pharmacy Sdn Bhd,pharmacy,pharmacy,general,Unknown,Unknown,5.0224022,118.3306636,0.0
Medicare Pharmacy,pharmacy,pharmacy,general,Unknown,Unknown,5.022774,118.3309657,0.0
Siang Pharmacy,pharmacy,pharmacy,general,Unknown,Unknown,5.2804631,100.4771932,0.0
Siang Pharmacy,pharmacy,pharmacy,general,Unknown,Bukit Mertajam,5.3632895,100.4449806,0.0
Kinik Idzham,clinic,clinic,general,Unknown,Unknown,3.1795925,101.7432423,0.0
Pusat Hemodialisis Yayasan Al-Sultan Abdullah (YASA) Setiawangsa,clinic,dialysis,nephrology,Unknown,Unknown,3.1795399,101.7426018,0.0
Kinik We-Care,clinic,clinic,general,Unknown,Unknown,3.1792238,101.7432159,0.0
Klinik Pergigian Safwa,other,dentist,general,Unknown,Unknown,4.747391,103.4148901,0.0
Klinik Dr Ramli,other,doctor,general,Unknown,Gua Musang,4.8701617,101.9632192,0.0
Klinik Kesihatan (KK3) Bandar Gua Musang,clinic,clinic,general,Unknown,Unknown,4.8788681,101.9654493,0.0
Klinik Bersatu,pharmacy,pharmacy,general,Unknown,Unknown,5.3636238,100.4449977,0.0
Sri Rambai Pharmacy,pharmacy,pharmacy,general,Unknown,Unknown,5.362695,100.4444904,0.0
Siang Pharmacy,pharmacy,pharmacy,general,Unknown,Kepala Batas,5.5156322,100.4309007,0.0
ALPS Medical Centre,other,doctor,plastic_surgery,Unknown,Unknown,3.1555813,101.7224697,0.0
Occhio Optometry,other,optometrist,general,Unknown,Bukit Mertajam,5.3184296,100.4768183,0.0
Klinik Pergigian Bliss,other,dentist,general,Unknown,Unknown,5.3187281,100.4767157,0.0
Klinik & Surgeri Medivici,other,dentist,general,Unknown,Unknown,5.3186654,100.4767372,0.0
Klinik Caring,clinic,clinic,general,Unknown,Unknown,5.3321097,100.485905,0.0
He Medical Clinic @ The Icon,clinic,clinic,andrology,Unknown,Unknown,3.156532,101.722132,0.0
Klinik Senan,clinic,clinic,general,Unknown,Unknown,3.172556,101.691035,0.0
Klinik Ayob,other,doctor,general,Unknown,Cameron Highlands,4.4706926,101.3757717,0.0
Dr Daniel Dental Surgery,other,dentist,general,Unknown,Cameron Highlands,4.4707121,101.3780491,0.0
Polyklinik Muru,clinic,clinic,general,Unknown,Kuala Lumpur,3.1287834,101.6837326,0.0
Farmasi Harmoni,pharmacy,pharmacy,general,Unknown,Unknown,5.3673363,100.4265423,0.0
KU Pharmacy Sdn. Bhd.,pharmacy,pharmacy,general,Unknown,Unknown,5.3670347,100.4255409,0.0
Farmasi Putra,pharmacy,pharmacy,general,Unknown,Unknown,2.271011,102.2912227,0.0
Klinik Ummi,clinic,clinic,general,Unknown,Unknown,5.3112788,103.0834012,0.0
Klinik Kesihatan Kuala Tahan,clinic,clinic,general,Unknown,Unknown,4.3823294,102.4016341,0.0
Poliklinik Dr Akram,clinic,clinic,general,Unknown,Unknown,5.6046023,100.4837814,0.0
Klinik Tuaran,clinic,clinic,general,Unknown,Unknown,6.1469515,116.2214734,0.0
Klinik Desa,clinic,clinic,general,Unknown,Unknown,6.5925732,116.5641527,0.0
Care Medical Clinic,clinic,clinic,general,Unknown,Unknown,4.754271,115.0107481,0.0
Limbang Family Clinic,clinic,clinic,general,Unknown,Unknown,4.7569449,115.0072423,0.0
Klinik Desa Durian Burung,clinic,clinic,general,Unknown,Unknown,5.3075019,103.1095299,0.0
Klinik Won,clinic,clinic,general,Unknown,Unknown,6.2602601,100.4194011,0.0
Klinik Desa Batu 4 Sanglang,clinic,clinic,general,Unknown,Unknown,6.3297776,100.2638964,0.0
Klinik 1 Malaysia,clinic,clinic,general,Unknown,Unknown,6.0286822,100.4792008,0.0
Klinik Kesihatan Kampung Raja,clinic,clinic,general,Unknown,Cameron Highlands,4.5671394,101.4075083,0.0
Poliklinik Mutiara,clinic,clinic,general,Unknown,Unknown,6.1398969,100.3886037,0.0
Klinik Desa Simpang Tiga,clinic,clinic,general,Unknown,Unknown,5.9167583,100.4261307,0.0
Klinik Desa,clinic,clinic,general,Unknown,Unknown,6.1464523,100.5622569,0.0
Klinik Aziz Zain,clinic,clinic,general,Unknown,Unknown,5.7376113,102.4945955,0.0
Klinik Desa Tempinis,clinic,clinic,general,Unknown,Unknown,5.6999076,102.60724,0.0
Klinik Wawasan,clinic,clinic,general,Unknown,Unknown,5.7303705,100.5122018,0.0
Klinik Desa Tringkap,clinic,clinic,general,Unknown,Cameron Highlands,4.5142535,101.4272726,0.0
Klinik Kesihatan Bukit Changgang,clinic,clinic,general,Unknown,Banting,2.8270129,101.6206626,0.0
Klinik Adam,clinic,clinic,general,Unknown,Banting,2.8267359,101.6323121,0.0
Klinik Norzila & Surgeri,clinic,clinic,general,Unknown,Shah Alam,3.0893445,101.5161386,0.0
Klinik Dr Aishah,clinic,clinic,general,Unknown,Unknown,5.856767,100.4576234,0.0
Klinik 1Malaysia Guar Chempedak,clinic,clinic,general,Unknown,Unknown,5.8587465,100.4614574,0.0
BP Specialist Centre Taman Megah,clinic,clinic,general,Unknown,Petaling Jaya,3.1154754,101.6138528,0.0
Klinik Desa Kg Tembila,clinic,clinic,general,Unknown,Unknown,5.7374165,102.6164554,0.0
Klinik Komuniti Binjai,clinic,clinic,general,Unknown,Unknown,4.228045,103.3623698,0.0
Klinik Komuniti Taman Ria Jaya,clinic,clinic,general,Unknown,Unknown,5.6445697,100.5181137,0.0
Klinik Ng Tekalit,clinic,clinic,general,Unknown,Unknown,1.9068856,112.5607462,0.0
Klinik Shakthi & Surgeri,clinic,clinic,general,Unknown,Unknown,1.5443334,103.7113261,0.0
Klinik Desa,clinic,clinic,general,Unknown,Unknown,5.6120192,100.361757,0.0
Poliklinik Permai Polyclinics,clinic,clinic,general,Unknown,Unknown,1.5155422,103.6705822,0.0
Poliklinik Dr Azhar dan Rakan-rakan,clinic,clinic,general,Unknown,Unknown,5.6539184,100.5135019,0.0
Healthy Living Clinic,clinic,clinic,general,Unknown,Unknown,2.4759722,102.2559316,0.0
klinik parit jawa,clinic,clinic,general,Unknown,Unknown,1.9576231,102.6446908,0.0
Dr Shah Clinic,clinic,clinic,general,Unknown,Unknown,1.4740026,103.6414413,0.0
Yakin Haemodialysis,clinic,clinic,haematology,Unknown,Port Dickson,2.525699,101.8019489,0.0
Klinik Rozita,clinic,clinic,general,Unknown,Banting,2.8224747,101.5309397,0.0
Watsons,pharmacy,pharmacy,general,Unknown,Unknown,5.3324469,100.293871,0.0
Klinik Sri Rambai,clinic,clinic,general,Unknown,Unknown,5.3633825,100.4445716,0.0
Siang Pharmacy,pharmacy,pharmacy,general,Unknown,Perai,5.3855692,100.3923632,0.0
Guardian,pharmacy,pharmacy,general,Unknown,Unknown,5.6131562,100.4826348,0.0
Klinik Cinta Sayang,clinic,clinic,general,Unknown,Unknown,5.6130538,100.4826379,0.0
Guardian,pharmacy,pharmacy,general,Unknown,Bukit Mertajam,5.3551765,100.4183049,0.0
Klinik Lee,clinic,clinic,general,Unknown,Unknown,5.4119546,100.3327547,0.0
Klinik Desa Merchang,clinic,clinic,general,Unknown,Unknown,5.0432551,103.2913028,0.0
Klinik Desa Jambu Bongkok,clinic,clinic,general,Unknown,Unknown,4.9434594,103.3468222,0.0
Klinik Pergigian Rina,other,dentist,general,Unknown,Unknown,5.2206745,103.1981726,0.0
Klinik Pergigian Darul Iman,other,dentist,general,Unknown,Unknown,5.2658663,103.1776057,0.0
Pusat Rawatan Dialisis Islah,clinic,dialysis,nephrology,Unknown,Unknown,5.2657368,103.1775923,0.0
Klinik Medina,clinic,clinic,general,Unknown,Unknown,5.2656887,103.1775802,0.0
Klinik Alam Medik,clinic,clinic,general,Unknown,Unknown,3.2132263,101.6407391,0.0
Watsons,pharmacy,pharmacy,general,Unknown,Unknown,3.2309873,101.4504013,0.0
Watsons,pharmacy,pharmacy,general,Unknown,Unknown,2.4707663,102.2318369,0.0
Farmasi KNZ,pharmacy,pharmacy,general,Unknown,Unknown,6.1303406,100.3875647,0.0
Poliklinik Hidayah,clinic,clinic,general,Unknown,Unknown,6.1302603,100.3874993,0.0
Klinik Lau & Choong,clinic,clinic,general,Unknown,Unknown,5.9801643,116.0732885,0.0
Klinik Famili Shah Alam,clinic,clinic,general,Unknown,Unknown,3.0062344,101.5375608,0.0
Flexcare Physio,other,physiotherapist,general,Unknown,Unknown,2.9572035,101.7907169,0.0
Care Clinics,clinic,clinic,general,Unknown,Unknown,2.957224,101.7906601,0.0
Cofie,pharmacy,pharmacy,general,Unknown,Unknown,2.9571412,101.7908206,0.0
Klinik Ayer Keroh,clinic,clinic,general,Unknown,Unknown,2.2562975,102.2913863,0.0
Farmasi Murni,pharmacy,pharmacy,general,Unknown,Unknown,2.2582585,102.2913722,0.0
FirstCare Pharmacy,pharmacy,pharmacy,general,Unknown,Unknown,3.0035396,101.5391463,0.0
Health Lane Family Pharmacy,pharmacy,pharmacy,general,Unknown,Unknown,3.0047022,101.5344755,0.0
Klinik Dr. Hasseenah,clinic,clinic,general,Unknown,Unknown,3.0035108,101.5371668,0.0
Revival Clinic,clinic,clinic,plastic_surgery,Unknown,Unknown,3.004326,101.5352026,0.0
Ooi & Khor Dental Surgery,other,dentist,general,Unknown,Unknown,3.002888,101.540116,0.0
Poliklinik Piang & X-ray,clinic,clinic,general,Unknown,Unknown,2.2576033,102.2913828,0.0
Klinik 1 Malaysia Ampang Baru,clinic,clinic,general,Unknown,Ipoh,4.5847004,101.1260941,0.0
Jing Sen,clinic,clinic,traditional_chinese_medicine,Unknown,Unknown,1.4947,103.6562148,0.0
Farmasi Murni Simpang Renggam,pharmacy,pharmacy,general,Unknown,Simpang Renggam,1.8299419,103.3084303,0.0
Farmasi Kaisar,pharmacy,pharmacy,general,Unknown,Petaling Jaya,3.0748427,101.646011,0.0
Klinik Menara TM,clinic,clinic,general,Unknown,Unknown,3.1164283,101.6652483,0.0
Farmasi Ehsan Wakaf Bharu,pharmacy,pharmacy,general,Unknown,Unknown,6.122041,102.2009032,0.0
Klinik Mahmood,clinic,clinic,community,Unknown,Unknown,6.1208274,102.2015569,0.0
Nextage Pharmacy,pharmacy,pharmacy,general,Unknown,Bandar Baru Bangi,2.9710723,101.7737617,0.0
DEGREE by Optometrist,other,optometrist,general,Unknown,Miri,4.3963207,113.9865369,0.0
Klinik Veda,clinic,clinic,general,Unknown,Unknown,3.0253533,101.5430821,0.0
Guardian,pharmacy,pharmacy,general,Unknown,Unknown,3.0461065,101.6182517,0.0
Klinik Genetik,clinic,clinic,general,Unknown,Unknown,3.1684465,101.7024918,0.0
Klinik Hanita,other,maternity,general,Unknown,Kajang,2.8964496,101.7048947,0.0
Klinik Komuniti,other,doctor,general,Unknown,Batang Kali,3.4588108,101.6612402,0.0
Pusat Hemodialisis Syifa,clinic,clinic,general,Unknown,Batang Kali,3.4583647,101.6611023,0.0
Poliklinik Foo & Yong,other,,general,Unknown,Seremban,2.6684424,101.9192578,0.0
Lifemap Pharmacy,pharmacy,pharmacy,general,Unknown,Unknown,1.5058564,110.3752524,0.0
Smile Care Dental Clinic,other,dentist,general,Unknown,Unknown,1.5070942,110.3746191,0.0
Pristine Clinic,clinic,clinic,general,Unknown,Unknown,1.5065107,110.3736875,0.0
Klinik Impiana,clinic,clinic,general,Unknown,Unknown,5.5159732,100.4306857,0.0
Klinik Komuniti Kuchai Entrepreneurs Park,clinic,clinic,general,Unknown,Unknown,3.0888686,101.6886084,0.0
Khor's Physio,other,physiotherapist,general,Unknown,Unknown,1.5072693,110.3738252,0.0
Klinik Mediviron,clinic,clinic,general,Unknown,Unknown,3.1626797,101.6501276,0.0
EyeHealth Optometrist 眼康验光,other,optometrist,optometry,Unknown,Unknown,1.5093301,110.3060132,0.0
Jason Cheong Dental Surgery,other,dentist,general,Unknown,Unknown,3.1314758,101.6706251,0.0
Klinik Mediviron,clinic,clinic,general,Unknown,Unknown,2.9730048,101.6581028,0.0
